Subject Number,Country,Site,Date,Time,Civilian,Date of Birth,Age (Years),Birth State,Occupation,Education,Number of Children,Fitness,Car Make,Car Year,Car Model,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Subgroup Number,Marital Status,Family Income IT,Shoe Size IT,Jacket Size IT,Pants Size Waist IT,Pants Size Waist,Pants Size Inseam IT,Pants Size Inseam,Blouse Size,Pants Size Woman IT,Bra Size
4197,Italy,Genoa1 IT,23/05/2001,15:11:32,Yes,24/09/1980,20.7,Liguria,Student,Some College,0,4-6,No Response,,No Response,Male,Italy/Italian,180.00,70.87,75.00,165.35,0,Single,No Response,42.0,48,85,33.5,76,29.9,,,
4198,Italy,Genoa1 IT,23/05/2001,15:42:35,Yes,25/07/1956,44.8,Liguria,Administrative Support,High School,2,4-6,No Response,,No Response,Female,Italy/Italian,156.00,61.42,68.00,149.91,0,Married,45MLira-59.9MLira,37.5,,,,,,Lg,48,36dd
4199,Italy,Genoa1 IT,24/05/2001,09:08:03,Yes,20/12/1956,44.4,Liguria,Administrative Support,High School,0,2-3,Nissan,1996,Sports Car,Female,Italy/Italian,162.00,63.78,53.00,116.84,0,Divorced,No Response,37.5,,,,,,Med,42,32b
4200,Italy,Genoa1 IT,24/05/2001,10:16:19,Yes,12/07/1965,35.9,Campania,Health Diagnosing Occupation,Some College,0,4-6,Fiat,1970,Economy,Female,Italy/Italian,170.00,66.93,58.00,127.87,0,Single,45MLira-59.9MLira,38.5,,,,,,Med,42,32a
4201,Italy,Genoa1 IT,24/05/2001,10:23:17,Yes,15/05/1945,56.0,Campania,Homemaker,High School,2,2-3,Fiat,1999,Economy,Female,Italy/Italian,164.00,64.57,64.00,141.10,0,Married,No Response,37.0,,,,,,Lg,46,36c
4202,Italy,Genoa1 IT,24/05/2001,13:07:35,Yes,28/12/1971,29.4,Liguria,Administrative Support,Masters,0,0-1,No Response,,No Response,Female,Italy/Italian,175.00,68.90,68.00,149.91,0,Single,No Response,40.0,,,,,,Lg,48,36b
4203,Italy,Genoa1 IT,24/05/2001,13:47:42,Yes,22/05/1982,19.0,Liguria,Student,Middle School,0,6-10,No Response,,No Response,Female,Italy/Italian,163.00,64.17,54.00,119.05,0,Single,Don't Know,37.0,,,,,,Med,42,34c
4204,Italy,Genoa1 IT,24/05/2001,14:18:26,Yes,11/04/1980,21.1,Lombardia,Student,Some College,0,4-6,Ford,1999,Compact,Female,Italy/Italian,169.00,66.54,59.00,130.07,0,Single,No Response,38.0,,,,,,Med,44,36c
4205,Italy,Genoa1 IT,24/05/2001,15:13:13,Yes,16/05/1980,21.0,Liguria,Student,Some College,0,0-1,No Response,,No Response,Female,Italy/Italian,170.00,66.93,55.00,121.25,0,Single,Don't Know,40.0,,,,,,Med,42,32b
4206,Italy,Genoa1 IT,24/05/2001,15:25:58,Yes,07/08/1981,19.8,Liguria,Student,High School,0,0-1,No Response,,No Response,Male,Italy/Italian,170.00,66.93,75.00,165.35,0,Single,Less than 10MLira,43.0,48,75 or Smaller,29.5,73.5,28.9,,,
4207,Italy,Genoa1 IT,24/05/2001,17:28:53,No,24/09/1973,27.7,Liguria,Other Specialty Occupation,Middle School,0,4-6,Toyota,2000,Compact,Male,Italy/Italian,180.00,70.87,75.00,165.35,0,Married,No Response,44 or Larger,50,85,33.5,76,29.9,,,
4208,Italy,Genoa1 IT,24/05/2001,18:25:59,Yes,26/02/1966,35.2,Liguria,Administrative Support,Middle School,0,0-1,Other,1988,Compact,Male,Italy/Italian,169.00,66.54,79.00,174.17,0,Married,45MLira-59.9MLira,42.0,48,95,37.4,71,28.0,,,
4209,Italy,Genoa1 IT,25/05/2001,09:17:38,Yes,23/04/1976,25.1,Liguria,Student,Some College,0,2-3,Other,1999,Scooter,Male,Italy/Italian,169.00,66.54,77.00,169.76,0,Single,Don't Know,41.0,48,85,33.5,73.5,28.9,,,
4210,Italy,Genoa1 IT,25/05/2001,11:11:53,Yes,15/07/1971,29.9,Liguria,Other Specialty Occupation,Technical Training,0,4-6,Lancia,1997,Intermediate,Male,Italy/Italian,165.00,64.96,69.00,152.12,0,Single,No Response,40.5,48,90,35.4,73.5,28.9,,,
4211,Italy,Genoa1 IT,25/05/2001,15:14:33,Yes,28/09/1978,22.7,Liguria,Student,Some College,0,More than 10,Other,2000,Sports Car,Male,Italy/Italian,163.00,64.17,55.00,121.25,0,Single,No Response,39.0,48,75 or Smaller,29.5,68.5,27.0,,,
4212,Italy,Genoa1 IT,25/05/2001,16:37:48,Yes,08/03/1957,44.2,Liguria,Administrative Support,High School,1,0-1,Fiat,1992,Compact,Male,Italy/Italian,171.00,67.32,82.00,180.78,0,Married,45MLira-59.9MLira,41.0,50,90,35.4,73.5,28.9,,,
4213,Italy,Genoa1 IT,28/05/2001,09:06:28,Yes,12/07/1961,39.9,Liguria,Administrative Support,High School,0,6-10,No Response,,No Response,Male,Italy/Italian,172.00,67.72,67.00,147.71,0,Single,10MLira-14.9MLira,43.0,48,85,33.5,73.5,28.9,,,
4214,Italy,Genoa1 IT,28/05/2001,09:14:03,Yes,31/05/1977,24.0,Liguria,Unemployed,Technical Training,0,6-10,Fiat,1997,Economy,Male,Italy/Italian,185.00,72.83,83.00,182.98,0,Single,No Response,44 or Larger,50,90,35.4,81,31.9,,,
4215,Italy,Genoa1 IT,28/05/2001,11:19:57,Yes,20/02/1980,21.3,Not Born in Italy,Student,Some College,0,0-1,Fiat,2000,Economy,Female,Italy/Other,165.00,64.96,55.00,121.25,0,Single,No Response,38.5,,,,,,Med,42,34c
4216,Italy,Genoa1 IT,28/05/2001,11:45:18,Yes,02/03/1980,21.2,Liguria,Student,High School,0,2-3,No Response,,No Response,Male,Italy/Italian,170.00,66.93,68.00,149.91,0,Single,No Response,42.0,46 or Smaller,Don't Know,Don't Know,Don't Know,Don't Know,,,
4217,Italy,Genoa1 IT,28/05/2001,12:44:59,Yes,11/01/1961,40.4,Lombardia,Other Legal/Judicial Occupation,High School,0,4-6,Lancia,1981,Economy,Male,Italy/Italian,170.00,66.93,80.00,176.37,0,Single,No Response,41.5,48,95,37.4,71,28.0,,,
4218,Italy,Genoa1 IT,28/05/2001,14:18:28,Yes,09/10/1957,43.6,Sicilia,Administrative Support,High School,1,0-1,No Response,,No Response,Female,Italy/Italian,157.00,61.81,60.00,132.28,0,Married,45MLira-59.9MLira,37.0,,,,,,Med,44,36a
4219,Italy,Genoa1 IT,28/05/2001,14:45:20,Yes,02/11/1968,32.6,Liguria,Administrative Support,High School,0,0-1,Volkswagen,1993,Economy,Female,Italy/Italian,160.00,62.99,60.00,132.28,0,Single,30MLira-44.9MLira,36.0,,,,,,Med,44,34c
4220,Italy,Genoa1 IT,28/05/2001,14:50:48,Yes,06/11/1974,26.6,Liguria,Other Specialty Occupation,Masters,0,4-6,Ford,1999,Intermediate,Male,Italy/Italian,175.00,68.90,80.00,176.37,0,Single,No Response,43.0,48,85,33.5,73.5,28.9,,,
4221,Italy,Genoa1 IT,28/05/2001,15:45:08,Yes,13/12/1978,22.5,Liguria,Student,Some College,0,4-6,No Response,,No Response,Female,Italy/Italian,178.00,70.08,55.00,121.25,0,Single,Don't Know,38.0,,,,,,Med,44,32d
4222,Italy,Genoa1 IT,28/05/2001,17:11:04,Yes,08/07/1980,20.9,Liguria,Student,Some College,0,More than 10,No Response,,No Response,Male,Italy/Italian,176.00,69.29,68.00,149.91,0,Single,Don't Know,43.0,50,85,33.5,73.5,28.9,,,
4223,Italy,Genoa1 IT,29/05/2001,09:32:33,Yes,13/01/1941,60.4,Liguria,Retired,High School,0,6-10,No Response,,No Response,Male,Italy/Italian,169.00,66.54,77.00,169.76,0,Married,30MLira-44.9MLira,42.0,50,90,35.4,73.5,28.9,,,
4224,Italy,Genoa1 IT,29/05/2001,10:10:39,Yes,13/01/1969,32.4,Liguria,Service Occupation,High School,0,6-10,Volkswagen,1996,Economy,Male,Italy/Italian,172.00,67.72,73.00,160.94,0,Married,Don't Know,41.0,52,90,35.4,76,29.9,,,
4225,Italy,Genoa1 IT,29/05/2001,10:49:37,Yes,03/02/1941,60.3,Liguria,Retired,High School,1,More than 10,Other,1992,Economy,Male,Italy/Italian,150.00,59.06,59.00,130.07,0,Divorced,10MLira-14.9MLira,38.0,50,90,35.4,73.5,28.9,,,
4226,Italy,Genoa1 IT,29/05/2001,11:22:04,Yes,10/06/1954,47.0,Liguria,Administrative Support,Technical Training,1,More than 10,Fiat,1993,Economy,Female,Italy/Italian,153.00,60.24,60.00,132.28,0,Divorced,15MLira-19.9MLira,36.0,,,,,,Med,44,36c
4227,Italy,Genoa1 IT,29/05/2001,14:17:33,No,08/11/1970,30.6,Toscana,Administrative Support,High School,1,4-6,Other,1997,Intermediate,Male,Italy/Italian,173.00,68.11,70.00,154.32,0,Married,30MLira-44.9MLira,41.0,48,Don't Know,Don't Know,Don't Know,Don't Know,,,
4228,Italy,Genoa1 IT,29/05/2001,14:35:55,Yes,18/10/1982,18.6,Liguria,Student,Middle School,0,More than 10,No Response,,No Response,Male,Italy/Italian,176.00,69.29,70.00,154.32,0,Single,Don't Know,44 or Larger,48,80,31.5,76,29.9,,,
4229,Italy,Genoa1 IT,29/05/2001,15:18:06,Yes,08/11/1982,18.6,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Male,Italy/Italian,172.00,67.72,68.00,149.91,0,Single,Don't Know,44 or Larger,48,85,33.5,73.5,28.9,,,
4230,Italy,Genoa1 IT,29/05/2001,16:04:28,Yes,27/05/1978,23.0,Liguria,Student,Some College,0,2-3,No Response,,No Response,Male,Italy/Italian,182.00,71.65,69.00,152.12,0,Single,80MLira-100MLira,43.0,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,
4231,Italy,Genoa1 IT,29/05/2001,16:08:02,Yes,06/08/1980,20.8,Liguria,Student,Some College,0,0-1,No Response,,No Response,Male,Italy/Italian,182.00,71.65,103.00,227.08,0,Single,Don't Know,44 or Larger,Don't Know,100,39.4,Don't Know,Don't Know,,,
4232,Italy,Genoa1 IT,29/05/2001,17:08:16,Yes,08/05/1972,29.1,Liguria,Unemployed,High School,0,0-1,No Response,,No Response,Female,Italy/Italian,158.00,62.20,50.00,110.23,0,Single,Don't Know,36.0,,,,,,Sm,42,32a
4233,Italy,Genoa1 IT,29/05/2001,17:53:39,Yes,24/01/1969,32.3,Liguria,Sales/Marketing,High School,0,4-6,Volkswagen,1996,Sports Car,Male,Italy/Italian,172.00,67.72,71.00,156.53,0,Single,Don't Know,41.0,50,90,35.4,73.5,28.9,,,
4234,Italy,Genoa1 IT,30/05/2001,09:16:56,Yes,29/04/1968,33.1,Abruzzo,Other Specialty Occupation,High School,0,2-3,Other,2000,Scooter,Male,Italy/Italian,182.00,71.65,90.00,198.42,0,Single,30MLira-44.9MLira,42.0,52,90,35.4,78.5,30.9,,,
4235,Italy,Genoa1 IT,30/05/2001,10:40:29,Yes,08/04/1965,36.1,Liguria,Other Specialty Occupation,Masters,1,2-3,No Response,,No Response,Female,Italy/Italian,166.00,65.35,57.00,125.66,0,Married,60MLira-79.9MLira,35.5,,,,,,Med,44,34c
4236,Italy,Genoa1 IT,30/05/2001,11:21:16,Yes,18/02/1966,35.3,Liguria,Sales/Marketing,Masters,0,6-10,No Response,,No Response,Male,Italy/Italian,172.00,67.72,77.00,169.76,0,Single,15MLira-19.9MLira,41.0,50,95,37.4,73.5,28.9,,,
4237,Italy,Genoa1 IT,30/05/2001,11:23:07,Yes,08/04/1966,35.1,Liguria,Classroom Teacher,High School,0,6-10,Other,1993,Economy,Female,Italy/Italian,163.00,64.17,57.00,125.66,0,Married,15MLira-19.9MLira,37.0,,,,,,Sm,40,34a
4238,Italy,Genoa1 IT,30/05/2001,13:39:29,Yes,22/10/1960,40.6,Liguria,Administrative Support,Masters,1,4-6,No Response,,No Response,Male,Italy/Italian,170.00,66.93,63.00,138.89,0,Married,30MLira-44.9MLira,41.0,48,80,31.5,73.5,28.9,,,
4239,Italy,Genoa1 IT,30/05/2001,14:02:39,Yes,17/05/1981,20.0,Liguria,Student,Some College,0,More than 10,No Response,,No Response,Female,Italy/Italian,163.00,64.17,60.00,132.28,0,Single,Don't Know,37.0,,,,,,Lg,46,34b
4240,Italy,Genoa1 IT,30/05/2001,14:20:15,Yes,10/01/1976,25.4,Piemonta,Student,Some College,0,0-1,No Response,,No Response,Female,Italy/Italian,161.00,63.39,60.00,132.28,0,Single,No Response,37.0,,,,,,Lg,46,36c
4241,Italy,Genoa1 IT,30/05/2001,15:22:50,Yes,24/09/1977,23.7,Liguria,Student,Some College,0,6-10,No Response,,No Response,Female,Italy/Italian,160.00,62.99,47.00,103.62,0,Single,No Response,36.5,,,,,,Sm,40,32d
4242,Italy,Genoa1 IT,30/05/2001,16:02:58,Yes,21/07/1978,22.9,Liguria,Sales/Marketing,High School,0,0-1,No Response,,No Response,Female,Italy/Italian,165.00,64.96,60.00,132.28,0,Single,30MLira-44.9MLira,37.5,,,,,,Med,46,34b
4243,Italy,Genoa1 IT,30/05/2001,16:49:24,Yes,03/07/1981,19.9,Liguria,Student,High School,0,6-10,No Response,,No Response,Female,Italy/Italian,170.00,66.93,55.00,121.25,0,Single,Don't Know,40.0,,,,,,Med,Don't Know,32b
4244,Italy,Genoa1 IT,30/05/2001,16:54:24,Yes,15/11/1981,19.5,Liguria,Student,Some College,0,0-1,No Response,,No Response,Female,Italy/Italian,170.00,66.93,50.00,110.23,0,Single,Don't Know,39.0,,,,,,Sm,40,34a
4245,Italy,Genoa1 IT,31/05/2001,09:38:51,Yes,12/10/1962,38.6,Not Born in Italy,Health Non-Diagnosing Occupation,Middle School,1,6-10,Other,2000,Scooter,Male,Italy/Other,189.00,74.41,84.00,185.19,0,Divorced,No Response,44 or Larger,52,90,35.4,81,31.9,,,
4246,Italy,Genoa1 IT,31/05/2001,09:47:53,Yes,14/03/1977,24.2,Toscana,Other Specialty Occupation,Some College,0,2-3,No Response,,No Response,Female,Italy/Italian,162.00,63.78,48.00,105.82,0,Single,Don't Know,38.0,,,,,,Sm,42,34a
4247,Italy,Genoa1 IT,31/05/2001,11:01:50,Yes,10/04/1974,27.1,Liguria,Unemployed,Masters,1,0-1,No Response,,No Response,Male,Italy/Italian,172.00,67.72,66.00,145.51,0,Single,No Response,42.0,50,80,31.5,71,28.0,,,
4248,Italy,Genoa1 IT,31/05/2001,11:14:22,Yes,10/10/1980,20.6,Liguria,Student,Some College,0,4-6,Other,1999,Scooter,Male,Italy/Italian,183.00,72.05,65.00,143.30,0,Single,Don't Know,44 or Larger,50,80,31.5,78.5,30.9,,,
4249,Italy,Genoa1 IT,31/05/2001,14:17:16,Yes,24/05/1956,45.0,Liguria,Sales/Marketing,Middle School,2,0-1,No Response,,No Response,Female,Italy/Italian,162.00,63.78,56.00,123.46,0,Married,10MLira-14.9MLira,37.0,,,,,,Med,42,34b
4250,Italy,Genoa1 IT,31/05/2001,14:53:00,Yes,17/09/1979,21.7,Liguria,Student,High School,0,0-1,No Response,,No Response,Female,Italy/Italian,157.00,61.81,43.00,94.80,0,Single,Don't Know,36.5,,,,,,"X-Small,40",4,
4251,Italy,Genoa1 IT,31/05/2001,15:39:45,Yes,26/12/1981,19.4,Liguria,Student,Some College,0,0-1,No Response,1998,Scooter,Female,Italy/Italian,166.00,65.35,53.00,116.84,0,Single,Don't Know,37.0,,,,,,Sm,42,32b
4252,Italy,Genoa1 IT,31/05/2001,15:53:19,Yes,20/04/1981,20.1,Liguria,Student,Middle School,0,6-10,No Response,,No Response,Female,Italy/Italian,164.00,64.57,49.00,108.03,0,Single,10MLira-14.9MLira,36.0,,,,,,Sm,40,32a
4253,Italy,Genoa1 IT,01/06/2001,10:04:39,Yes,15/02/1982,19.3,Not Born in Italy,Student,Middle School,No Response,2-3,No Response,,No Response,Female,Italy/Other,168.00,66.14,51.00,112.44,0,Single,No Response,38.0,,,,,,Sm,42,34b
4254,Italy,Genoa1 IT,01/06/2001,10:33:52,Yes,13/03/1983,18.2,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Male,Italy/Italian,172.00,67.72,56.00,123.46,0,Single,Don't Know,42.0,48,80,31.5,76,29.9,,,
4255,Italy,Genoa1 IT,01/06/2001,11:09:25,Yes,18/03/1983,18.2,Liguria,Student,Middle School,0,4-6,No Response,,No Response,Female,Italy/Italian,173.00,68.11,53.00,116.84,0,Single,Don't Know,39.5,,,,,,Med,42,30 or Smaller
4256,Italy,Genoa1 IT,01/06/2001,11:36:17,Yes,06/05/1983,18.1,Liguria,Student,Middle School,0,6-10,No Response,,No Response,Male,Italy/Italian,170.00,66.93,82.00,180.78,0,Single,Don't Know,44 or Larger,48,85,33.5,73.5,28.9,,,
4257,Italy,Genoa1 IT,01/06/2001,15:09:22,Yes,30/11/1982,18.5,Liguria,Student,Middle School,0,0-1,No Response,,No Response,Female,Italy/Italian,167.00,65.75,53.00,116.84,0,Single,Don't Know,39.5,,,,,,Med,42,34c
4258,Italy,Genoa1 IT,01/06/2001,15:15:30,Yes,01/10/1982,18.7,Liguria,Student,Middle School,0,0-1,No Response,,No Response,Female,Italy/Italian,177.00,69.69,70.00,154.32,0,Single,Don't Know,38.0,,,,,,Lg,46,36a
4259,Italy,Genoa1 IT,01/06/2001,15:26:05,Yes,24/01/1983,18.4,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Female,Italy/Italian,175.00,68.90,55.00,121.25,0,Single,Don't Know,38.0,,,,,,Sm,40,32b
4260,Italy,Genoa1 IT,01/06/2001,15:30:31,Yes,18/04/1983,18.1,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Female,Italy/Italian,172.00,67.72,58.00,127.87,0,Single,Don't Know,39.5,,,,,,Med,42,34b
4261,Italy,Genoa1 IT,04/06/2001,09:20:49,Yes,03/11/1981,19.6,Liguria,Student,Some College,0,2-3,No Response,,No Response,Female,Italy/Italian,152.00,59.84,45.00,99.21,0,Single,Don't Know,36.5,,,,,,Sm,40,32a
4262,Italy,Genoa1 IT,04/06/2001,09:43:52,Yes,22/05/1976,25.0,Liguria,Student,Some College,0,6-10,No Response,,No Response,Female,Italy/Italian,158.00,62.20,46.00,101.41,0,Single,Don't Know,37.0,,,,,,Sm,40,32a
4263,Italy,Genoa1 IT,04/06/2001,14:15:52,Yes,11/12/1980,20.5,Liguria,Student,Some College,0,More than 10,No Response,,No Response,Female,Italy/Italian,169.00,66.54,54.00,119.05,0,Single,Don't Know,36.5,,,,,,Sm,42,34a
4264,Italy,Genoa1 IT,04/06/2001,14:38:26,Yes,29/10/1980,20.6,Liguria,Student,Some College,0,4-6,Fiat,1987,Economy,Male,Italy/Italian,180.00,70.87,65.00,143.30,0,Single,Don't Know,44 or Larger,48,80,31.5,76,29.9,,,
4265,Italy,Genoa1 IT,04/06/2001,14:54:50,Yes,31/07/1981,19.8,Sicilia,Student,Some College,0,2-3,No Response,,No Response,Female,Italy/Italian,165.00,64.96,60.00,132.28,0,Single,Don't Know,40.0,,,,,,Med,44,36a
4266,Italy,Genoa1 IT,04/06/2001,14:59:49,Yes,19/02/1982,19.3,Liguria,Student,High School,0,2-3,No Response,,No Response,Male,Italy/Italian,168.00,66.14,75.00,165.35,0,Single,Less than 10MLira,43.0,48,90,35.4,71,28.0,,,
4267,Italy,Genoa1 IT,05/06/2001,09:33:25,Yes,20/12/1945,55.5,Liguria,Retired,High School,2,More than 10,No Response,,No Response,Female,Italy/Italian,158.00,62.20,56.00,123.46,0,Married,60MLira-79.9MLira,36.5,,,,,,Med,44,32b
4268,Italy,Genoa1 IT,05/06/2001,09:40:17,Yes,28/02/1977,24.3,Liguria,Student,Some College,2,No Response,Other,1991,Economy,Female,Italy/Italian,164.00,64.57,81.00,178.57,0,Single,Don't Know,41.0,,,,,,XXL,50,38c
4269,Italy,Genoa1 IT,05/06/2001,09:46:33,Yes,03/09/1979,21.8,Not Born in Italy,Student,Some College,0,0-1,No Response,,No Response,Female,Italy/Italian,162.00,63.78,48.00,105.82,0,Single,Don't Know,38.0,,,,,,Sm,42,32b
4270,Italy,Genoa1 IT,05/06/2001,10:33:25,Yes,23/09/1976,24.7,Liguria,Student,Some College,0,4-6,Honda,1990,Scooter,Male,Italy/Italian,172.00,67.72,69.00,152.12,0,Single,No Response,41.0,50,80,31.5,68.5,27.0,,,
4271,Italy,Genoa1 IT,05/06/2001,11:55:04,Yes,31/01/1980,21.3,Liguria,Student,Some College,0,2-3,Toyota,2001,Compact,Female,Italy/Italian,158.00,62.20,46.00,101.41,0,Single,No Response,36.0,,,,,,"X-Small,38",2,
4272,Italy,Genoa1 IT,05/06/2001,13:40:39,Yes,04/03/1977,24.3,Liguria,Student,High School,0,More than 10,Volkswagen,1995,Intermediate,Male,Italy/Italian,168.00,66.14,60.00,132.28,0,Single,No Response,41.0,46 or Smaller,80,31.5,73.5,28.9,,,
4273,Italy,Genoa1 IT,05/06/2001,14:11:58,Yes,30/08/1981,19.8,Liguria,Student,Some College,0,6-10,Alfa Romeo,1996,Don't Know,Female,Italy/Italian,160.00,62.99,48.00,105.82,0,Single,No Response,38.0,,,,,,Sm,40,No Response
4274,Italy,Genoa1 IT,05/06/2001,14:26:01,Yes,31/03/1961,40.2,Liguria,Other Specialty Occupation,High School,0,More than 10,Volkswagen,2000,Sports Car,Male,Italy/Italian,175.00,68.90,86.00,189.60,0,Divorced,20MLira-29.9MLira,43.0,Don't Know,160 or Larger,63 or Larger,Don't Know,Don't Know,,,
4275,Italy,Genoa1 IT,05/06/2001,14:59:19,Yes,05/06/1982,19.0,Liguria,Student,Middle School,0,4-6,No Response,,No Response,Female,Italy/Italian,169.00,66.54,54.00,119.05,0,Single,Don't Know,39.0,,,,,,Sm,42,34b
4276,Italy,Genoa1 IT,05/06/2001,15:07:28,Yes,09/06/1981,20.0,Liguria,Student,High School,0,0-1,No Response,,No Response,Female,Italy/Italian,167.00,65.75,54.00,119.05,0,Single,No Response,38.0,,,,,,Sm,42,34c
4277,Italy,Genoa1 IT,05/06/2001,15:51:45,Yes,26/08/1981,19.8,Liguria,Student,High School,0,0-1,No Response,,No Response,Female,Italy/Italian,167.00,65.75,50.00,110.23,0,Single,No Response,39.0,,,,,,Sm,42,34b
4278,Italy,Genoa1 IT,05/06/2001,15:57:27,Yes,24/04/1979,22.1,Liguria,Student,Some College,0,2-3,No Response,,No Response,Female,Italy/Italian,168.00,66.14,53.50,117.95,0,Single,Don't Know,38.0,,,,,,Sm,42,34a
4279,Italy,Genoa1 IT,05/06/2001,17:20:26,Yes,03/08/1977,23.8,Liguria,Student,Some College,0,4-6,No Response,,No Response,Male,Italy/Italian,176.00,69.29,77.00,169.76,0,Single,No Response,41.5,50,90,35.4,73.5,28.9,,,
4280,Italy,Genoa1 IT,06/06/2001,09:00:48,Yes,10/06/1975,26.0,Liguria,Other Specialty Occupation,High School,0,4-6,BMW,1975,Other,Male,Italy/Italian,180.00,70.87,82.00,180.78,0,Single,15MLira-19.9MLira,43.0,50,90,35.4,76,29.9,,,
4281,Italy,Genoa1 IT,06/06/2001,10:04:11,Yes,01/01/1948,53.4,Lombardia,Administrative Support,High School,2,0-1,Fiat,1997,Economy,Female,Italy/Italian,158.00,62.20,71.00,156.53,0,Married,60MLira-79.9MLira,38.0,,,,,,XL,50,38c
4282,Italy,Genoa1 IT,06/06/2001,13:12:11,Yes,24/11/1975,25.5,Liguria,Sales/Marketing,High School,0,4-6,Other,2000,Station Wagon,Male,Italy/Italian,180.00,70.87,85.00,187.39,0,Single,20MLira-29.9MLira,43.0,50,85,33.5,76,29.9,,,
4283,Italy,Genoa1 IT,06/06/2001,13:15:28,Yes,28/03/1977,24.2,Liguria,Administrative Support,High School,0,4-6,Nissan,1998,Economy,Female,Italy/Italian,165.00,64.96,47.00,103.62,0,Single,No Response,35 or Smaller,,,,,,Sm,38,34b
4284,Italy,Genoa1 IT,06/06/2001,13:21:41,Yes,07/04/1979,22.2,Liguria,Student,Some College,0,4-6,BMW,1997,Full size 2-Dr,Male,Italy/Italian,186.00,73.23,66.00,145.51,0,Single,Don't Know,42.5,48,75 or Smaller,29.5,78.5,30.9,,,
4285,Italy,Genoa1 IT,06/06/2001,14:11:29,Yes,11/04/1975,26.2,Liguria,Unemployed,High School,0,More than 10,Other,1999,Economy,Female,Italy/Italian,157.00,61.81,46.00,101.41,0,Single,Less than 10MLira,36.0,,,,,,Med,44,32b
4286,Italy,Genoa1 IT,06/06/2001,15:58:17,No,23/10/1978,22.6,Liguria,Armed Services,Some College,0,More than 10,No Response,,No Response,Male,Italy/Italian,177.00,69.69,67.00,147.71,0,Single,No Response,42.5,48,85,33.5,73.5,28.9,,,
4287,Italy,Genoa1 IT,06/06/2001,16:38:31,No,25/07/1980,20.9,Liguria,Student,High School,0,2-3,No Response,,No Response,Male,No Response,181.00,71.26,67.00,147.71,0,Single,Less than 10MLira,44 or Larger,48,75 or Smaller,29.5,76,29.9,,,
4288,Italy,Genoa1 IT,07/06/2001,09:13:47,Yes,07/06/1962,39.0,Liguria,Machine Operator,High School,0,2-3,Ford,1996,Station Wagon,Male,Italy/Italian,168.00,66.14,67.00,147.71,0,Single,30MLira-44.9MLira,42.0,48,95,37.4,71,28.0,,,
4289,Italy,Genoa1 IT,07/06/2001,09:36:38,Yes,12/08/1978,22.8,Liguria,Student,High School,0,4-6,Fiat,1999,Economy,Male,Italy/Italian,179.00,70.47,73.00,160.94,0,Single,No Response,43.0,48,85,33.5,76,29.9,,,
4290,Italy,Genoa1 IT,07/06/2001,09:50:37,Yes,01/07/1978,22.9,Liguria,Student,Some College,0,2-3,No Response,,No Response,Male,Italy/Italian,173.00,68.11,63.00,138.89,0,Single,No Response,41.0,48,80,31.5,73.5,28.9,,,
4291,Italy,Genoa1 IT,07/06/2001,10:08:00,Yes,10/01/1978,23.4,Liguria,Student,Some College,0,4-6,No Response,,No Response,Male,Italy/Italian,180.00,70.87,67.00,147.71,0,Single,No Response,42.0,48,80,31.5,76,29.9,,,
4292,Italy,Genoa1 IT,07/06/2001,10:41:37,Yes,27/02/1981,20.3,Liguria,Student,Some College,0,2-3,Volkswagen,1992,Economy,Female,Italy/Italian,168.00,66.14,63.00,138.89,0,Single,20MLira-29.9MLira,39.0,,,,,,Lg,44,36d
4293,Italy,Genoa1 IT,07/06/2001,12:42:57,Yes,07/06/1981,20.0,Liguria,Student,High School,0,0-1,No Response,,No Response,Male,No Response,180.00,70.87,70.00,154.32,0,Single,No Response,43.0,48,90,35.4,78.5,30.9,,,
4294,Italy,Genoa1 IT,07/06/2001,12:58:52,Yes,07/11/1981,19.6,Liguria,Computer Programmer/Software Engineer,Technical Training,0,2-3,Other,1999,Scooter,Male,Italy/Italian,180.00,70.87,73.00,160.94,0,Single,Don't Know,44 or Larger,48,85,33.5,78.5,30.9,,,
4295,Italy,Genoa1 IT,07/06/2001,13:01:58,Yes,07/06/1981,20.0,Liguria,Other Specialty Occupation,Technical Training,0,4-6,No Response,,No Response,Male,Italy/Italian,175.00,68.90,60.00,132.28,0,Single,Don't Know,41.0,48,80,31.5,76,29.9,,,
4296,Italy,Genoa1 IT,07/06/2001,14:47:30,Yes,01/12/1980,20.5,Sardegna,Unemployed,Technical Training,0,6-10,No Response,,No Response,Male,Italy/Italian,166.00,65.35,47.00,103.62,0,Single,No Response,41.0,46 or Smaller,75 or Smaller,29.5,68.5,27.0,,,
4297,Italy,Genoa1 IT,07/06/2001,14:51:29,Yes,05/04/1978,23.2,Liguria,Unemployed,Middle School,0,More than 10,No Response,,No Response,Male,Italy/Italian,170.00,66.93,80.00,176.37,0,Single,Don't Know,41.0,52,95,37.4,Don't Know,Don't Know,,,
